timestamp,x,y,z,rx,ry,rz
0.0,0.056128,0.0,0.21326599999999998,7.618565378011289e-18,1.4835298641951802,1.5237130756022577e-17
0.016683,0.05572115,-0.012589217000000014,0.21043790899999998,0.000818763534259967,1.4828598882472026,0.004087262990411457
0.033367,0.053522196999999994,-0.007740230000000015,0.21627658299999997,0.0025586628316462494,1.4863074970678252,0.0009069354751031709
0.05005,0.05368980599999999,-0.00788767700000001,0.21639789299999998,0.003200237577046136,1.4864087449187322,-4.3584633275667516e-05
0.066733,0.053839823999999994,-0.008141265000000009,0.21659882799999997,0.003812324506162783,1.4862438861604272,-0.0009879088286607865
0.083417,0.053975184999999995,-0.008362159000000008,0.217001952,0.004446364031811518,1.4861796833247287,-0.0017511962812358226
0.1001,0.053966317,-0.008424104000000016,0.217472695,0.004839815440803638,1.4861564901218292,-0.0026910553714683803
0.116783,0.053864534,-0.008539424000000018,0.21781484399999998,0.005109936698280394,1.4860532098376034,-0.0036512944690079326
0.133467,0.053908197,-0.008656934000000005,0.217985414,0.005157215043071137,1.486115032420633,-0.004747018778807824
0.15015,0.054413253999999994,-0.00928419900000002,0.21622071099999998,0.004188677503666027,1.4845273937322445,-0.00600976581736504
0.166833,0.0543511,-0.009403989000000001,0.21624722,0.00399632452928195,1.4842756361980758,-0.007164685103192011
0.183517,0.054556036999999995,-0.009363696000000005,0.216275171,0.004066750484545857,1.4843193403249144,-0.008513410571103578
0.2002,0.054912084,-0.00952349600000002,0.21623645399999997,0.0040658491302655265,1.4846649411601351,-0.009736038617832836
0.216883,0.05506986,-0.009500057000000006,0.216382474,0.0037693130814548973,1.4848748782590961,-0.01066550692768689
0.233567,0.056209703,-0.00861403400000002,0.218242955,0.00317743518532404,1.4853340113440803,-0.010690500101103397
0.25025,0.05714493699999999,-0.009262741000000019,0.21707863,0.002254710745211513,1.483767367428199,-0.009992434833004802
0.266933,0.05672985,-0.008906544000000016,0.216884531,0.0008533177824836868,1.4825579959217876,-0.010027458433470051
0.283617,0.055673713,-0.007476270000000007,0.217637219,-0.001099708984943117,1.4818254633348158,-0.010535227661154885
0.3003,0.05548107199999999,-0.006978751000000005,0.217575744,-0.002688780376685143,1.4809920276446462,-0.010988791691923395
0.316983,0.055406928999999994,-0.006728232000000001,0.217478909,-0.0042063654103552525,1.480410699064661,-0.011753759607151993
0.333667,0.055025459,-0.006452963000000006,0.21737877299999997,-0.005334356050859715,1.4800594627043295,-0.012540703516648925
0.35035,0.054905788,-0.006138310000000008,0.217472706,-0.0066683098055048285,1.4802274219245104,-0.0128810711498755
0.367033,0.055122041,-0.005832881000000012,0.217595991,-0.007968026430105251,1.480735940521163,-0.013541084310466146
0.383717,0.055195648,-0.005562261000000013,0.217846457,-0.008973437543229436,1.481376579664892,-0.014241786478781934
0.4004,0.055515815999999996,-0.00559678700000002,0.21790168099999999,-0.009902526485578544,1.4819741063152276,-0.015299500993282054
0.417083,0.056007259999999996,-0.005627632000000021,0.217929714,-0.010527925401267508,1.4820812949678892,-0.01619432180144581
0.433767,0.062339659,-0.012126416000000001,0.218794245,-0.010328582693117944,1.4811188091007361,-0.013156911323968639
0.45045,0.06318101899999999,-0.012126550000000014,0.21853584399999998,-0.01058212633940557,1.4813774792851901,-0.014393075171337154
0.467133,0.063916036,-0.012004018000000005,0.21849907999999998,-0.010235837385338526,1.481817678433288,-0.01587718709170491
0.483817,0.065003506,-0.012133375000000002,0.21837026999999998,-0.009691914301432307,1.4820872076035665,-0.0174085602648086
0.5005,0.066042879,-0.012314722,0.21827407199999999,-0.00918488546685033,1.4819262220405345,-0.019385475732165185
0.517183,0.067002284,-0.012678474000000023,0.21816004499999997,-0.008336654489513949,1.48157450556726,-0.021322285940064196
0.533867,0.067926216,-0.013121561000000004,0.21828003199999998,-0.007388649518292808,1.4811529468507192,-0.02319010212191037
0.55055,0.06921978799999999,-0.013523861999999998,0.21834895799999998,-0.006663557882433438,1.4805437180536987,-0.02520113929174991
0.567233,0.065828701,-0.01346586700000002,0.21859727399999998,-0.005880064360881567,1.480451712956549,-0.027966035266325746
0.583917,0.067118629,-0.01437248300000002,0.21850435499999998,-0.004779092370778664,1.4798280778598576,-0.030373104934673517
0.6006,0.068275238,-0.015570477,0.21842780399999998,-0.0034457417924549437,1.4792648546412226,-0.03270662948783314
0.617283,0.065796542,-0.008948609999999996,0.217888266,-0.004107525950462377,1.4783669142169802,-0.03912427460788101
0.633967,0.067636489,-0.009718909999999997,0.21829767899999997,-0.002549988848370893,1.478001318132774,-0.04139121274590076
0.65065,0.069579498,-0.010505498000000002,0.218686111,-0.001254820579846848,1.4778128010690728,-0.043979515578762715
0.667333,0.07127428699999999,-0.011393369000000014,0.21915813599999998,-0.00021372189224964068,1.478019689142984,-0.046582996103354805
0.684017,0.072825275,-0.012243434999999997,0.21942088399999998,0.0008129959223232547,1.4786490455899763,-0.04963229151808025
0.7007,0.07418370499999999,-0.012982756000000012,0.219498005,0.0016802847543218099,1.4795875593397232,-0.05216053806290622
0.717383,0.076014786,-0.013982475000000022,0.21958506099999997,0.0023156811186057988,1.480512554898694,-0.054170666043546804
0.734067,0.078568044,-0.015151322000000023,0.21991729799999998,0.002593105144368801,1.4818636132702885,-0.05582262957664417
0.75075,0.07729212899999999,-0.016745240000000022,0.22015825699999997,0.003344384536743631,1.484791720610071,-0.058086952693490256
0.767433,0.084062844,-0.017330841000000013,0.220353574,0.0025787752439062352,1.4844522801623476,-0.05861218117169816
0.784117,0.078099265,-0.010676145999999997,0.21739583099999998,0.00021457044363760357,1.486073612881626,-0.06491044823823584
0.8008,0.096957727,-0.022849605000000023,0.21763350499999998,0.0027205670945400257,1.4846251150120737,-0.05910602106645254
0.817483,0.09889498599999999,-0.02272917400000002,0.218462952,0.00039207633422400637,1.487058962970609,-0.0611368690994956
0.834167,0.10097208499999999,-0.022525936999999996,0.21906343099999998,-0.0013991382277402993,1.4896202051202103,-0.06300243611810305
0.85085,0.103502023,-0.022590055999999997,0.21929961499999998,-0.0032858026334155097,1.4925120183643483,-0.06480505779942848
0.867533,0.106164145,-0.022541166,0.219707519,-0.005711719475846898,1.4955803512315728,-0.06635712158362655
0.884217,0.108731131,-0.022304774,0.22011748299999997,-0.008323062948745538,1.499172911390062,-0.06799829446717591
0.9009,0.11136751199999999,-0.02222110400000002,0.22060460099999998,-0.01017526083118244,1.502525548392695,-0.06979311587535873
0.917583,0.11405950299999999,-0.022141904000000018,0.22090676599999998,-0.01171926559080629,1.5055784980382556,-0.07212694059996647
0.934267,0.118968244,-0.023649693,0.217139233,-0.01112563381231191,1.5064684756213753,-0.074061419253374
0.95095,0.11957212099999999,-0.023822531000000008,0.21778699799999998,-0.011375468841398874,1.5093632475666883,-0.07669622100324092
0.967633,0.121768805,-0.02376824600000002,0.21808604499999998,-0.010743763733615366,1.5113552623007596,-0.0793608280226912
0.984317,0.123917024,-0.02414624400000001,0.21840733699999998,-0.009514523841684625,1.5130295123333561,-0.08136340033184603
1.001,0.126153397,-0.024417982000000005,0.21874460999999998,-0.0074821340123427385,1.5143431768123672,-0.08340046169846187
1.017683,0.132544953,-0.024447099,0.21804684,-0.004516641108209871,1.5141185020972066,-0.08561013366003055
1.034367,0.135043065,-0.025053114000000015,0.21805974899999997,-0.0018476239664145014,1.5150129324485568,-0.0875412096863333
1.05105,0.13756645,-0.02594629000000001,0.21769695699999997,0.0009577810572379759,1.5151289284697937,-0.08968152364418762
